Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
GILLETTE_C,70063,COAL,833.3,249.99,12.284111800000002
PUEBLO_C,60577,COAL,1635.3,490.59,10.21415699
FOUNTAIN_NG,60577,GAS,782.3,234.69,9.8405282075
COLORADOSPRINGS_NG,60577,GAS,61.1,18.33,16.0240887
COLORADOSPRINGS_C,60577,COAL,257.3,77.19,12.32747471
PUEBLO_NG,60577,GAS,540.0,162.0,9.311741087
FOUNTAIN_C,60577,COAL,282.6,84.78,9.411389039
TRINIDAD_NG,60577,GAS,12.9,3.87,9.169822561
FORTMORGAN_C,60577,COAL,3.0,0.8999999999999999,5.629443573
ALAMOSA_NG,53002,GAS,53.2,15.96,14.78274901
GYPSUM_NG,60003,GAS,9.6,2.88,17.62360683
CRAIG_C,60003,COAL,1427.6,428.28,11.04748805
GRANDJUNCTION_NG,60003,GAS,26.6,7.98,22.10675883
HAYDEN_C,60003,COAL,465.4,139.61999999999998,11.37435268
RIFLE_NG,60003,GAS,84.0,25.2,9.3425501
SPOKANE_NG,74235,GAS,61.8,18.54,12.35010119
TWINFALLS_NG,74104,GAS,10.2,3.06,5.621080798
MOUNTAINHOME_NG,74104,GAS,663.7,199.11,10.865647155
BATTLEMOUNTAIN_C,74104,COAL,409.6,122.88,10.78170036
BUTTE_NG,74132,GAS,54.9,16.47,9.257451187
ANACONDA_NG,74132,GAS,203.1,60.92999999999999,12.46458235
BILLINGS_C,74132,COAL,1.5,0.4499999999999999,5.863072183
NEWPLYMOUTH_NG,74001,GAS,318.5,95.55,6.958982273
GRANTSVILLE_NG,50007,GAS,78.0,23.4,7.015343093
REXBURG_NG,70000,GAS,5.6,1.68,5.149371641
IDAHOFALLS_Nuc,70000,NUCLEAR,600.0,180.0,0.0
RATHDRUM_NG,10677,GAS,467.9,140.36999999999998,8.3107145865
NEWMANLAKE_NG,10677,GAS,24.6,7.38,9.059707038
COLSTRIP_C_27,77001,COAL,46.1,13.83,13.93029766
ALGODONES_NG,53000,GAS,45.0,13.5,0.0
ALBUQUERQUE_NG,53000,GAS,150.0,45.0,11.7191539
LAMESA_NG,80007,GAS,464.0,139.2,8.097879084
BELEN_NG_28,80007,GAS,84.6,25.38,10.39962826
LORDSBURG_NG,80007,GAS,274.0,82.2,10.54921805
DEMING_NG,80007,GAS,650.0,195.0,7.432621619
VADO_NG,80007,GAS,4.7,1.41,6.086687617
ALBUQUERQUE_NG_29,80007,GAS,160.6,48.18,13.31293349
SUNLANDPARK_NG,80007,GAS,398.3,119.49,11.40972689
ELPASO_NG,80007,GAS,1743.5,523.05,10.5459177865
LASVEGAS_NG_30,30221,GAS,94.8,28.44,7.179875524
ELY_C,50024,COAL,1500.0,450.0,0.0
CLATSKANIE_NG,10093,GAS,1330.1999999999998,399.06,6.5241152505
CORVALLIS_NG,10093,GAS,6.5,1.95,3.858430529
LONGVIEW_NG,10093,GAS,319.0,95.7,7.546527329
VANCOUVER_NG,10093,GAS,248.0,74.39999999999999,7.286823006
LAVERKIN_NG,50000,GAS,16.0,4.8,11.32969277
BELLINGHAM_NG,10228,GAS,176.4,52.92,8.852220651
BLAINE_NG,10228,GAS,454.7,136.41,11.737859957
BURLINGTON_NG,10228,GAS,376.0,112.8,1.737556231
SUMAS_NG,10228,GAS,125.5,37.65,8.162456258
SEATTLE_NG,10228,GAS,15.0,4.5,5.656851837
CHEHALIS_NG,10025,GAS,698.0,209.4,7.419712889
TACOMA_NG,10022,GAS,496.1,148.83,11.0469789345
ELMA_NG,10022,GAS,697.8,209.34,7.275221185
